region,level0,drift,tau,sigma,mi_usage
USA,2.093523988676786,-0.007173051479173294,0.043672295437089205,0.029027683851849305,0.9925132127050651
Korea,1.9550073612738896,-0.027248000444871953,0.0493619076363858,0.030079077425874793,0.8905991912638724
Italy,1.5977594003774103,-0.008269907751500966,0.025812625261853767,0.030815367118768883,0.9802893955157026
Japan,1.6387438730016857,-0.006204663266102533,0.02694567114074442,0.024592819125653146,0.9582043553521724
Europe,1.759980531431803,-0.005736417485586121,0.032153981229386626,0.02651663399289137,0.9545180822723629
