region,level0,level0_sd,drift,drift_sd,tau,sigma,quantum_2023,F_free_energy
USA,2.2526101012653337,0.024229865909619345,-0.008189165229364454,0.001421231571686445,0.01323348007459988,0.1368732865174812,1.9512128579770458,-8.378370660166969
Korea,2.0729627086198668,0.02309090313944676,-0.028914864913144964,0.0013916256387799153,0.006556265688111426,0.1052446777587269,1.1185913486036858,-18.39238143568964
Italy,1.4998034175190544,0.016432450467087457,-0.004528964203856472,0.0009278005759641155,0.006607520233004961,0.09184411143845923,1.3435449112057336,-22.704209679846684
Japan,1.542273902634809,0.017137124614871012,-0.0009256564119034242,0.0009190879406029818,0.007139651989154802,0.09516321593174876,1.5108792927584462,-21.80259537002273
Europe,1.7254359165062612,0.01857689465927786,-0.0018153063539803243,0.0010247283872728999,0.0065910633568406875,0.10193692900669998,1.6681977977241764,-20.44655441880901
